SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,44,-97.36,4.7164,0.2299
1,28,-101.14,4.7074,0.2689
1,4,-100.69,4.7172,0.2291
1,45,-100.22,4.7077,0.2392
1,18,-101.46,4.7079,0.2391
1,35,-101.61,4.7079,0.2391
1,34,-98.90,4.7079,0.2388
1,13,-101.59,4.7081,0.2390
1,29,-97.87,4.7171,0.2299
1,42,-99.63,4.7082,0.2392
1,40,-98.00,4.7173,0.2298
1,27,-101.71,4.7084,0.2389
1,6,-100.04,4.7082,0.2691
1,50,-99.75,4.7181,0.2291
1,33,-100.97,4.7084,0.2392
1,37,-101.31,4.7083,0.2389
1,7,-101.66,4.7085,0.2389
1,32,-100.93,4.7085,0.2388
1,19,-100.71,4.7181,0.2290
1,26,-99.09,4.7084,0.2394
1,47,-99.27,4.7087,0.2388
1,2,-100.41,4.7182,0.2289
1,41,-99.69,4.7092,0.2383
1,31,-101.81,4.7087,0.2390
1,43,-102.20,4.7087,0.2390
1,38,-99.12,4.7087,0.2391
1,21,-102.24,4.7087,0.2390
1,8,-99.03,4.7086,0.2394
1,1,-101.70,4.7088,0.2389
1,39,-101.89,4.7088,0.2389
1,9,-101.74,4.7088,0.2390
1,25,-100.12,4.7184,0.2290
1,24,-101.45,4.7085,0.2691
1,36,-99.35,4.7088,0.2391
1,30,-102.26,4.7088,0.2390
1,23,-98.25,4.7095,0.2381
1,3,-101.82,4.7089,0.2389
1,11,-99.85,4.7185,0.2289
1,16,-98.20,4.7179,0.2298
1,5,-100.80,4.7186,0.2289
1,49,-101.87,4.7090,0.2389
1,17,-98.89,4.7090,0.2391
1,10,-101.65,4.7091,0.2388
1,20,-98.69,4.7097,0.2382
1,15,-102.50,4.7090,0.2392
1,46,-98.75,4.7097,0.2382
1,22,-102.69,4.7091,0.2390
1,48,-101.02,4.7091,0.2394
1,14,-99.78,4.7093,0.2388
1,12,-101.77,4.7093,0.2389
2,44,-100.73,4.7158,0.2599
2,28,-101.94,4.7157,0.2606
2,4,-103.07,4.7159,0.2598
2,45,-102.21,4.7160,0.2603
2,18,-102.99,4.7162,0.2602
2,35,-102.93,4.7162,0.2602
2,34,-101.47,4.7162,0.2604
2,13,-101.11,4.7163,0.2602
2,29,-100.73,4.7165,0.2599
2,42,-102.16,4.7164,0.2603
2,40,-100.82,4.7166,0.2599
2,27,-99.55,4.7166,0.2601
2,6,-101.22,4.7165,0.2608
2,50,-101.91,4.7167,0.2598
2,33,-101.13,4.7166,0.2603
2,37,-101.29,4.7166,0.2605
2,7,-99.60,4.7167,0.2601
2,32,-101.69,4.7168,0.2600
2,19,-102.74,4.7169,0.2593
2,26,-101.09,4.7167,0.2604
2,47,-101.22,4.7169,0.2599
2,2,-101.69,4.7170,0.2592
2,41,-101.39,4.7169,0.2599
2,31,-99.30,4.7169,0.2601
2,43,-101.28,4.7169,0.2601
2,38,-101.78,4.7169,0.2602
2,21,-101.75,4.7169,0.2601
2,8,-101.22,4.7169,0.2604
2,1,-99.54,4.7170,0.2601
2,39,-99.96,4.7170,0.2601
2,9,-100.28,4.7170,0.2601
2,25,-102.46,4.7171,0.2593
2,24,-101.48,4.7169,0.2608
2,36,-102.00,4.7170,0.2602
2,30,-101.13,4.7171,0.2601
2,23,-101.06,4.7172,0.2594
2,3,-99.23,4.7172,0.2601
2,11,-101.70,4.7173,0.2590
2,16,-100.91,4.7172,0.2595
2,5,-101.71,4.7173,0.2591
2,49,-100.08,4.7172,0.2600
2,17,-101.23,4.7172,0.2602
2,10,-101.56,4.7173,0.2600
2,20,-100.97,4.7174,0.2595
2,15,-101.69,4.7173,0.2603
2,46,-101.00,4.7174,0.2595
2,22,-101.68,4.7174,0.2601
2,48,-101.02,4.7174,0.2605
2,14,-101.08,4.7175,0.2599
2,12,-99.30,4.7175,0.2601
3,44,-100.58,4.7090,0.2653
3,28,-100.79,4.7077,0.2693
3,4,-101.12,4.7092,0.2653
3,45,-102.40,4.7080,0.2683
3,18,-102.71,4.7082,0.2683
3,35,-102.70,4.7083,0.2683
3,34,-98.77,4.7092,0.2675
3,13,-101.71,4.7084,0.2682
3,29,-100.74,4.7097,0.2653
3,42,-101.84,4.7085,0.2683
3,40,-100.86,4.7099,0.2653
3,27,-102.62,4.7098,0.2670
3,6,-98.32,4.7084,0.2690
3,50,-100.48,4.7099,0.2653
