SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,46,-74.41,2.0300,0.1441
1,22,-75.58,2.0300,0.1439
1,15,-74.56,2.0301,0.1442
1,43,-74.17,2.0303,0.1437
1,23,-75.91,2.0305,0.1438
1,6,-75.13,2.0305,0.1439
1,14,-74.20,2.0306,0.1444
1,13,-76.35,2.0306,0.1438
1,1,-74.92,2.0306,0.1435
1,8,-76.43,2.0308,0.1438
1,40,-75.74,2.0308,0.1439
1,47,-74.21,2.0308,0.1442
1,26,-75.04,2.0308,0.1439
1,18,-75.31,2.0308,0.1439
1,32,-75.47,2.0308,0.1434
1,44,-75.76,2.0308,0.1435
1,34,-75.71,2.0308,0.1439
1,25,-75.24,2.0309,0.1439
1,17,-74.64,2.0309,0.1441
1,35,-75.90,2.0310,0.1438
1,19,-75.39,2.0310,0.1438
1,20,-74.28,2.0310,0.1444
1,3,-75.44,2.0310,0.1435
1,28,-75.76,2.0310,0.1439
1,42,-76.12,2.0310,0.1438
1,9,-75.90,2.0310,0.1438
1,49,-76.01,2.0311,0.1438
1,2,-75.56,2.0311,0.1439
1,7,-75.00,2.0311,0.1440
1,24,-75.63,2.0311,0.1439
1,21,-76.33,2.0311,0.1437
1,31,-75.11,2.0311,0.1434
1,39,-76.64,2.0311,0.1436
1,5,-76.16,2.0311,0.1436
1,36,-76.12,2.0311,0.1436
1,12,-76.23,2.0313,0.1436
1,27,-75.91,2.0314,0.1438
1,16,-75.74,2.0314,0.1439
1,11,-75.41,2.0314,0.1438
1,10,-75.69,2.0315,0.1439
1,33,-76.27,2.0315,0.1436
1,48,-75.93,2.0315,0.1435
1,45,-74.38,2.0316,0.1438
1,29,-74.12,2.0316,0.1443
1,41,-75.58,2.0316,0.1439
1,50,-75.58,2.0318,0.1440
1,4,-76.00,2.0319,0.1436
1,37,-75.51,2.0320,0.1439
1,30,-75.71,2.0320,0.1438
1,38,-75.88,2.0321,0.1434
2,46,-75.30,2.0300,0.1411
2,22,-74.60,2.0300,0.1460
2,15,-75.37,2.0301,0.1410
2,43,-75.50,2.0303,0.1411
2,23,-74.63,2.0305,0.1459
2,6,-75.15,2.0305,0.1460
2,14,-73.96,2.0306,0.1408
2,13,-74.60,2.0306,0.1459
2,1,-74.39,2.0306,0.1416
2,8,-74.98,2.0308,0.1459
2,40,-75.23,2.0308,0.1460
2,47,-74.30,2.0308,0.1408
2,26,-75.70,2.0308,0.1460
2,18,-75.39,2.0308,0.1460
2,32,-74.69,2.0308,0.1439
2,44,-74.88,2.0308,0.1457
2,34,-75.30,2.0308,0.1460
2,25,-75.25,2.0309,0.1460
2,17,-75.36,2.0309,0.1410
2,35,-74.99,2.0310,0.1459
2,19,-75.42,2.0310,0.1459
2,20,-74.68,2.0310,0.1429
2,3,-74.79,2.0310,0.1416
2,28,-75.26,2.0310,0.1460
2,42,-74.88,2.0310,0.1459
2,9,-75.07,2.0310,0.1459
2,49,-74.99,2.0311,0.1459
2,2,-75.13,2.0311,0.1460
2,7,-75.57,2.0311,0.1461
2,24,-75.06,2.0311,0.1460
2,21,-74.80,2.0311,0.1458
2,31,-74.79,2.0311,0.1416
2,39,-74.05,2.0311,0.1457
2,5,-74.63,2.0311,0.1457
2,36,-74.17,2.0311,0.1457
2,12,-74.60,2.0313,0.1415
2,27,-74.99,2.0314,0.1459
2,16,-75.68,2.0314,0.1460
2,11,-75.40,2.0314,0.1459
2,10,-75.67,2.0315,0.1460
2,33,-74.00,2.0315,0.1457
2,48,-74.66,2.0315,0.1415
2,45,-75.11,2.0316,0.1409
2,29,-74.77,2.0316,0.1429
2,41,-75.61,2.0316,0.1460
2,50,-75.86,2.0318,0.1461
2,4,-74.57,2.0318,0.1458
2,37,-75.72,2.0320,0.1460
2,30,-75.50,2.0320,0.1459
2,38,-74.38,2.0321,0.1415
3,46,-73.94,2.0298,0.1464
3,22,-73.46,2.0298,0.1463
3,15,-74.11,2.0298,0.1465
3,43,-73.70,2.0301,0.1464
3,23,-72.84,2.0303,0.1462
3,6,-72.74,2.0303,0.1462
3,14,-73.89,2.0303,0.1446
3,13,-73.26,2.0303,0.1462
3,1,-73.40,2.0304,0.1445
3,8,-72.40,2.0305,0.1462
3,40,-73.12,2.0305,0.1463
3,47,-74.06,2.0306,0.1466
3,26,-73.76,2.0306,0.1463
3,18,-72.63,2.0306,0.1462
3,32,-73.46,2.0306,0.1445
3,44,-73.64,2.0306,0.1459
3,34,-73.26,2.0306,0.1463
3,25,-73.73,2.0306,0.1463
3,17,-74.04,2.0306,0.1465
3,35,-73.22,2.0307,0.1462
3,19,-72.71,2.0307,0.1462
3,20,-74.03,2.0308,0.1466
3,3,-73.66,2.0308,0.1444
3,28,-73.21,2.0308,0.1462
3,42,-72.76,2.0308,0.1462
3,9,-73.18,2.0308,0.1462
3,49,-73.16,2.0308,0.1462
3,2,-73.34,2.0308,0.1463
3,7,-74.33,2.0308,0.1464
3,24,-73.01,2.0308,0.1463
3,21,-72.69,2.0308,0.1461
3,31,-73.88,2.0308,0.1444
3,39,-72.34,2.0309,0.1460
3,5,-73.21,2.0309,0.1460
3,36,-72.97,2.0309,0.1460
3,12,-72.98,2.0310,0.1460
3,27,-72.70,2.0312,0.1462
3,16,-74.22,2.0312,0.1463
3,11,-72.80,2.0312,0.1462
3,10,-73.95,2.0312,0.1463
3,33,-73.13,2.0313,0.1460
3,48,-73.67,2.0313,0.1443
3,45,-74.30,2.0313,0.1465
3,29,-74.02,2.0313,0.1466
3,41,-74.10,2.0314,0.1463
3,50,-74.39,2.0316,0.1463
3,4,-72.19,2.0316,0.1460
3,37,-74.17,2.0317,0.1463
3,30,-73.61,2.0318,0.1462
3,38,-73.63,2.0319,0.1443
4,46,-74.70,2.0291,0.1454
4,22,-75.17,2.0291,0.1429
4,15,-74.93,2.0291,0.1455
4,43,-74.68,2.0294,0.1454
4,23,-74.93,2.0296,0.1412
4,6,-74.81,2.0296,0.1411
4,14,-72.68,2.0296,0.1456
4,13,-75.28,2.0296,0.1430
4,1,-75.16,2.0297,0.1433
4,8,-74.79,2.0298,0.1412
4,40,-74.90,2.0298,0.1411
4,47,-74.15,2.0299,0.1456
4,26,-74.48,2.0299,0.1412
4,18,-74.73,2.0299,0.1411
4,32,-74.70,2.0299,0.1433
4,44,-75.80,2.0299,0.1432
4,34,-74.77,2.0299,0.1411
4,25,-74.91,2.0299,0.1411
4,17,-74.74,2.0300,0.1455
4,35,-74.80,2.0300,0.1411
4,19,-74.79,2.0300,0.1411
4,20,-72.90,2.0301,0.1456
4,3,-75.27,2.0301,0.1432
4,28,-74.79,2.0301,0.1412
4,42,-74.70,2.0301,0.1411
4,9,-74.79,2.0301,0.1411
4,49,-74.77,2.0301,0.1411
4,2,-74.60,2.0301,0.1411
4,7,-74.93,2.0301,0.1453
4,24,-74.40,2.0301,0.1411
4,21,-75.18,2.0301,0.1412
4,31,-75.03,2.0302,0.1432
4,39,-75.75,2.0302,0.1431
4,5,-76.06,2.0302,0.1431
4,36,-76.07,2.0302,0.1431
4,12,-75.95,2.0303,0.1431
4,27,-74.71,2.0305,0.1412
4,16,-74.74,2.0305,0.1410
4,11,-74.73,2.0305,0.1411
4,10,-74.47,2.0305,0.1411
4,33,-76.15,2.0306,0.1431
4,48,-75.50,2.0306,0.1431
4,45,-74.75,2.0306,0.1454
4,29,-72.94,2.0306,0.1456
4,41,-74.72,2.0307,0.1410
4,50,-75.10,2.0309,0.1428
4,4,-75.49,2.0309,0.1412
4,37,-74.85,2.0310,0.1428
4,30,-74.46,2.0311,0.1410
4,38,-75.59,2.0312,0.1431
5,46,-73.42,2.0309,0.1429
5,22,-72.48,2.0309,0.1246
5,15,-71.64,2.0310,0.1430
5,43,-73.22,2.0312,0.1429
5,23,-73.26,2.0314,0.1427
5,6,-73.61,2.0314,0.1246
5,14,-71.97,2.0315,0.1432
5,13,-72.76,2.0315,0.1426
5,1,-73.29,2.0315,0.1423
5,8,-72.74,2.0317,0.1426
5,40,-73.96,2.0317,0.1430
5,47,-72.14,2.0317,0.1431
5,26,-74.18,2.0317,0.1429
5,18,-74.18,2.0317,0.1430
5,32,-73.27,2.0317,0.1412
5,44,-73.03,2.0317,0.1424
5,34,-73.98,2.0317,0.1430
5,25,-73.82,2.0318,0.1429
5,17,-71.58,2.0318,0.1427
5,35,-73.40,2.0319,0.1430
5,19,-74.25,2.0319,0.1430
5,20,-72.18,2.0319,0.1432
5,3,-73.22,2.0319,0.1423
5,28,-74.03,2.0319,0.1429
5,42,-73.28,2.0319,0.1430
5,9,-73.46,2.0319,0.1430
5,49,-73.41,2.0320,0.1430
5,2,-73.65,2.0320,0.1429
5,7,-72.40,2.0320,0.1428
5,24,-73.62,2.0320,0.1429
5,21,-72.93,2.0320,0.1426
5,31,-73.75,2.0320,0.1423
5,39,-72.69,2.0320,0.1424
5,5,-73.09,2.0320,0.1424
5,36,-72.50,2.0321,0.1424
5,12,-72.92,2.0322,0.1424
5,27,-74.00,2.0323,0.1430
5,16,-72.65,2.0323,0.1428
5,11,-73.94,2.0323,0.1429
5,10,-72.87,2.0324,0.1429
5,33,-72.18,2.0324,0.1424
5,48,-72.76,2.0324,0.1242
5,45,-73.08,2.0325,0.1427
5,29,-72.41,2.0325,0.1431
5,41,-72.35,2.0325,0.1428
5,50,-71.99,2.0327,0.1427
5,4,-73.10,2.0328,0.1430
5,37,-72.17,2.0329,0.1428
5,30,-72.27,2.0329,0.1428
5,38,-72.41,2.0330,0.1241
6,46,-74.74,2.0300,0.1250
6,22,-74.52,2.0300,0.1444
6,15,-75.24,2.0301,0.1251
6,43,-75.27,2.0303,0.1250
6,23,-74.42,2.0305,0.1443
6,6,-74.47,2.0305,0.1444
6,14,-74.90,2.0306,0.1419
6,13,-74.56,2.0306,0.1443
6,1,-76.26,2.0306,0.1463
6,8,-74.82,2.0308,0.1443
6,40,-74.53,2.0308,0.1444
6,47,-74.91,2.0308,0.1251
6,26,-74.69,2.0308,0.1444
6,18,-74.47,2.0308,0.1444
6,32,-75.72,2.0308,0.1463
6,44,-75.44,2.0308,0.1231
6,34,-74.46,2.0308,0.1444
6,25,-74.95,2.0309,0.1444
6,17,-75.18,2.0309,0.1250
6,35,-74.34,2.0310,0.1443
6,19,-74.47,2.0310,0.1443
6,20,-74.59,2.0310,0.1419
6,3,-75.74,2.0310,0.1464
6,28,-74.35,2.0310,0.1444
6,42,-74.47,2.0310,0.1443
6,9,-74.32,2.0310,0.1443
6,49,-74.36,2.0311,0.1443
6,2,-74.97,2.0311,0.1444
6,7,-74.84,2.0311,0.1249
