SRC_DEPTH,RX_DEPTH,RX_RANGE,GAIN,PH_SHIFT,DELAY
200.0,0.0,1.0,-64.13,0.0000,0.1338,-65.31,0.0000,0.1338,-67.40,0.0000,0.1338,-70.39,0.0000,0.1338,-70.79,3.1416,0.1318,-74.03,0.0001,0.5350,-74.29,0.0000,0.1338,-74.48,3.1416,0.1318,-74.94,0.0001,0.5349,-76.67,0.0001,0.5350,-79.05,3.1416,0.1318,-79.10,0.0000,0.1339,-84.49,3.1416,0.1318,-84.66,0.0001,0.5352
200.0,0.0,50.0,-65.39,3.1416,0.1364,-66.22,0.0000,0.1379
200.0,0.0,100.0,-94.13,0.0001,0.5343
200.0,0.0,150.0,-93.29,0.0001,0.5376,-95.83,3.1417,0.5366
200.0,0.0,200.0,-95.69,3.1417,0.8213,-99.14,6.2833,0.8191,-106.14,6.2833,0.8021,-112.49,3.1417,0.8042
200.0,0.0,250.0,-94.43,3.1417,0.8186,-99.57,3.1417,0.8187
200.0,0.0,300.0,-97.31,6.2833,0.8260,-98.01,3.1417,0.8270,-98.88,0.0001,0.5634,-98.94,6.2833,0.8235,-100.60,3.1417,0.8217,-102.12,6.2833,0.8207,-102.28,6.2833,0.8259,-102.95,3.1417,0.8245,-103.08,6.2833,0.8260,-103.92,6.2833,0.8235,-105.85,3.1417,0.8270,-106.23,3.1417,0.8216,-106.56,6.2833,0.8207,-112.16,3.1416,0.2406,-112.58,3.1417,0.5625,-113.46,3.1417,0.8245
200.0,0.0,350.0,-91.21,0.0001,0.5931,-96.39,0.0001,0.5930,-96.81,3.1417,0.8227,-99.71,3.1417,0.5920,-101.85,6.2833,0.8217,-101.88,3.1417,0.8335,-102.39,3.1417,0.8335,-104.42,3.1417,0.5921,-107.34,6.2833,0.8325
200.0,0.0,400.0,-108.36,3.1417,0.6007,-116.99,0.0001,0.6026,-127.51,3.1417,0.5906
200.0,0.0,450.0,-96.87,3.1417,0.6099,-113.23,3.1417,0.6082,-115.54,0.0001,0.6116
200.0,0.0,500.0
200.0,0.0,550.0,-82.82,0.0000,0.3915,-85.17,3.1416,0.3913,-93.71,3.1417,0.6492,-94.75,0.0001,0.6395,-94.75,3.1417,0.6487,-95.65,3.1417,0.6391
200.0,0.0,600.0,-104.53,6.2833,0.8982,-107.07,6.2833,0.8993,-117.64,3.1417,0.9009,-118.69,3.1417,0.9021,-119.55,6.2833,0.8982
200.0,0.0,650.0,-105.69,3.1417,0.9109,-111.99,3.1417,0.9117,-113.26,6.2833,0.9096,-115.54,3.1417,0.9116,-121.32,6.2833,0.9095,-122.80,6.2833,0.9088
200.0,0.0,700.0,-98.72,0.0001,0.6966,-99.60,3.1416,0.4868,-104.31,0.0000,0.4870,-106.55,3.1417,0.6961
200.0,0.0,750.0
200.0,0.0,800.0,-128.02,0.0000,0.5516
200.0,0.0,850.0
200.0,0.0,900.0,-153.17,3.1417,0.8067
200.0,0.0,950.0,-106.14,3.1417,0.8314,-107.32,3.1416,0.6491,-111.50,0.0001,0.8322,-112.21,3.1417,0.8180,-114.30,0.0001,0.8187
200.0,0.0,1000.0
200.0,0.0,1050.0,-112.90,6.2833,1.0573,-128.66,3.1417,1.0622
200.0,0.0,1100.0,-107.01,3.1417,1.0879,-109.67,0.0000,0.7478,-118.24,6.2833,1.0871
200.0,0.0,1150.0,-88.38,3.1416,0.7807,-95.33,0.0000,0.7808,-100.30,6.2833,1.1017,-103.02,3.1417,1.1023
200.0,0.0,1200.0,-150.10,3.1417,1.1398
200.0,0.0,1250.0,-121.32,3.1417,0.9972,-134.68,3.1417,0.9865
200.0,0.0,1300.0,-136.84,3.1417,1.0180,-154.21,0.0001,1.0189
200.0,0.0,1350.0,-93.33,0.0001,1.0523,-96.36,3.1417,1.0511,-97.09,0.0000,0.9128,-105.37,0.0001,1.0516
200.0,0.0,1400.0
200.0,0.0,1450.0,-99.55,3.1416,0.9789,-100.20,3.1417,1.1028,-101.65,0.0001,1.1220,-102.52,3.1417,1.1213,-102.87,3.1417,1.2679,-103.06,6.2833,1.2582,-113.46,0.0000,0.9790,-113.65,0.0001,1.1034
200.0,0.0,1500.0,-103.46,3.1417,1.1476,-105.48,3.1417,1.2895,-107.40,0.0001,1.1484,-108.08,6.2833,1.2885,-108.20,3.1417,1.1370,-109.29,0.0002,1.1378,-113.47,3.1416,1.0121,-114.36,0.0000,1.0121,-116.06,3.1416,1.0120
200.0,0.0,1550.0,-128.01,3.1417,1.3132,-138.73,0.0002,1.1750
200.0,0.0,1600.0,-91.15,0.0000,1.0784,-97.22,3.1417,1.3367,-100.70,0.0001,1.2051,-108.87,3.1417,1.2047
200.0,0.0,1650.0
200.0,0.0,1700.0,-98.49,3.1418,1.2524,-101.73,0.0000,1.1448,-103.69,3.1418,1.2568,-112.63,0.0002,1.2573,-114.53,0.0002,1.2530
200.0,0.0,1750.0,-106.86,3.1418,1.2866,-110.54,6.2833,1.4120,-127.60,6.2834,1.6881,-129.54,3.1418,1.2850,-130.28,3.1417,1.4136
200.0,0.0,1800.0,-87.36,3.1416,1.2112,-90.56,0.0000,1.2112,-94.96,3.1416,1.2111,-97.06,6.2833,1.4768,-102.63,3.1417,1.4777
200.0,0.0,1850.0,-115.12,3.1418,1.3582,-122.12,0.0002,1.3595,-130.29,6.2834,1.7278,-132.55,0.0001,1.3609,-133.14,6.2833,1.4960,-135.95,0.0000,1.2444
200.0,0.0,1900.0,-96.01,0.0002,1.3883,-98.87,3.1419,1.3795,-101.61,6.2833,1.5143,-105.70,3.1416,1.2775,-107.37,6.2833,1.5066,-108.39,0.0003,1.3802,-108.71,3.1418,1.3874,-109.76,3.1417,1.3923,-112.61,3.1417,1.5074,-115.36,0.0000,1.2776
200.0,0.0,1950.0,-94.30,3.1419,1.4165,-102.65,3.1417,1.5452,-104.63,0.0003,1.4171,-110.08,6.2833,1.5443
