SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,18,-120.68,6.0519,0.3007
1,24,-122.52,6.0526,0.3010
1,19,-119.90,6.0532,0.2979
1,28,-119.88,6.0535,0.2979
1,33,-119.52,6.0540,0.2974
1,44,-120.69,6.0544,0.2984
1,27,-120.83,6.0548,0.3004
1,3,-122.36,6.0553,0.3008
1,36,-121.55,6.0554,0.3008
1,46,-125.72,6.0564,0.3017
1,29,-119.47,6.0559,0.2844
1,40,-119.78,6.0561,0.2977
1,22,-126.21,6.0571,0.3016
1,15,-121.85,6.0558,0.2906
1,5,-120.98,6.0566,0.3001
1,17,-119.44,6.0563,0.2844
1,1,-120.91,6.0571,0.3001
1,32,-121.69,6.0572,0.3008
1,2,-124.15,6.0576,0.3011
1,38,-120.72,6.0571,0.2980
1,42,-120.85,6.0572,0.2980
1,8,-120.84,6.0575,0.3001
1,47,-119.80,6.0573,0.2976
1,4,-119.54,6.0573,0.2975
1,43,-120.78,6.0575,0.2980
1,31,-120.87,6.0576,0.3002
1,45,-120.72,6.0576,0.3002
1,11,-120.83,6.0577,0.3001
1,35,-120.80,6.0577,0.3002
1,7,-120.44,6.0578,0.2979
1,48,-119.49,6.0578,0.2843
1,37,-119.42,6.0580,0.2844
1,49,-121.68,6.0585,0.2998
1,13,-125.50,6.0591,0.3013
1,16,-120.42,6.0581,0.2908
1,39,-121.56,6.0589,0.3009
1,34,-121.68,6.0589,0.2997
1,12,-123.02,6.0599,0.3007
1,25,-121.03,6.0596,0.2999
1,50,-121.05,6.0596,0.2999
1,21,-120.03,6.0597,0.2909
1,10,-121.88,6.0595,0.2943
1,41,-121.61,6.0606,0.2994
1,9,-121.09,6.0604,0.3002
1,6,-121.88,6.0608,0.2998
1,23,-120.77,6.0607,0.3003
1,20,-119.98,6.0605,0.2910
1,14,-119.42,6.0614,0.2845
1,26,-121.75,6.0629,0.2997
1,30,-121.09,6.0630,0.3001
2,18,-125.68,6.0484,0.3247
2,24,-120.58,6.0492,0.2829
2,19,-124.50,6.0497,0.3200
2,28,-124.73,6.0501,0.3200
2,33,-121.73,6.0505,0.3206
2,44,-125.92,6.0509,0.3074
2,27,-126.19,6.0514,0.3247
2,3,-120.97,6.0518,0.2827
2,36,-125.91,6.0520,0.3076
2,46,-118.31,6.0529,0.2871
2,29,-122.03,6.0524,0.3205
2,40,-123.65,6.0527,0.3199
2,22,-118.95,6.0536,0.2871
2,15,-121.19,6.0524,0.3216
2,5,-126.21,6.0532,0.3074
2,17,-121.18,6.0528,0.3206
2,1,-126.50,6.0537,0.3074
2,32,-125.64,6.0538,0.3076
2,2,-118.93,6.0542,0.2829
2,38,-124.72,6.0537,0.3070
2,42,-125.53,6.0538,0.3305
2,8,-126.05,6.0540,0.3073
2,47,-124.74,6.0539,0.3198
2,4,-123.77,6.0538,0.3200
2,43,-125.68,6.0540,0.3305
2,31,-126.16,6.0541,0.3072
2,45,-126.53,6.0541,0.3071
2,11,-126.75,6.0543,0.3073
2,35,-126.03,6.0543,0.3071
2,7,-125.21,6.0544,0.3303
2,48,-121.43,6.0544,0.3205
2,37,-122.36,6.0545,0.3203
2,49,-126.33,6.0550,0.3075
2,13,-118.65,6.0557,0.2872
2,16,-120.96,6.0547,0.3210
2,39,-123.35,6.0554,0.3078
2,34,-125.56,6.0555,0.3076
2,12,-120.85,6.0565,0.2876
2,25,-126.32,6.0561,0.3308
2,50,-126.71,6.0562,0.3309
2,21,-121.31,6.0562,0.3205
2,10,-121.08,6.0561,0.3213
2,41,-123.36,6.0571,0.3078
2,9,-126.19,6.0569,0.3302
2,6,-126.23,6.0574,0.3308
2,23,-125.17,6.0573,0.3301
2,20,-121.32,6.0571,0.3204
2,14,-124.05,6.0580,0.3061
2,26,-126.02,6.0595,0.3307
2,30,-126.09,6.0595,0.3067
3,18,-121.79,6.0484,0.3068
3,24,-122.17,6.0491,0.3199
3,19,-123.61,6.0497,0.3062
3,28,-123.92,6.0500,0.3062
3,33,-123.68,6.0505,0.2975
3,44,-119.97,6.0509,0.3070
3,27,-122.21,6.0513,0.3071
3,3,-121.73,6.0517,0.3198
3,36,-121.44,6.0519,0.3069
3,46,-124.46,6.0529,0.3299
3,29,-123.96,6.0523,0.3050
3,40,-123.79,6.0526,0.2950
3,22,-124.06,6.0536,0.3299
3,15,-125.93,6.0523,0.3045
3,5,-121.54,6.0531,0.3067
3,17,-124.37,6.0528,0.3050
3,1,-121.46,6.0536,0.3067
3,32,-120.79,6.0537,0.3204
3,2,-122.64,6.0541,0.3088
3,38,-122.02,6.0536,0.3071
3,42,-121.70,6.0537,0.3071
