SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,23,-91.63,2.6715,0.0975
1,28,-90.22,2.7514,0.0181
1,10,-91.88,2.7507,0.0195
1,35,-90.64,2.6733,0.0975
1,46,-90.90,2.7507,0.0197
1,7,-90.25,2.7518,0.0181
1,38,-91.10,2.6737,0.0974
1,41,-89.79,2.7516,0.0186
1,22,-89.79,2.7517,0.0188
1,18,-90.64,2.7527,0.0180
1,25,-93.80,2.7523,0.0194
1,50,-90.46,2.7533,0.0103
1,11,-90.65,2.6757,0.0972
1,37,-90.29,2.7534,0.0190
1,39,-89.71,2.7543,0.0101
1,36,-90.98,2.7540,0.0180
1,43,-93.37,2.7534,0.0196
1,12,-88.35,2.7550,0.0093
1,34,-90.95,2.7540,0.0186
1,44,-89.58,2.7550,0.0101
1,27,-89.62,2.6766,0.0977
1,16,-89.67,2.6767,0.0975
1,20,-90.21,2.7550,0.0104
1,2,-89.96,2.6767,0.0973
1,1,-89.69,2.7541,0.2250
1,40,-91.82,2.7544,0.0191
1,14,-91.33,2.7544,0.0190
1,45,-89.48,2.6768,0.0977
1,3,-91.20,2.7541,0.2249
1,8,-91.29,2.7546,0.0189
1,30,-92.86,2.7547,0.0193
1,47,-91.08,2.7546,0.2250
1,32,-91.90,2.7554,0.0181
1,4,-89.28,2.6774,0.0973
1,17,-89.51,2.6774,0.0976
1,15,-93.53,2.7548,0.2250
1,24,-89.74,2.6776,0.0979
1,49,-88.47,2.7566,0.0095
1,48,-88.49,2.7568,0.0091
1,13,-89.73,2.6780,0.0972
1,5,-89.51,2.7552,0.2258
1,6,-88.57,2.7572,0.0096
1,33,-91.35,2.7563,0.0189
1,21,-91.38,2.7563,0.0189
1,26,-89.85,2.6792,0.0972
1,19,-88.64,2.7589,0.0096
1,9,-89.11,2.6804,0.0975
1,31,-91.17,2.7586,0.0106
1,29,-89.11,2.6810,0.0974
1,42,-90.59,2.7604,0.0105
2,23,-89.99,2.7516,0.0085
2,28,-92.92,2.7558,0.0058
2,10,-92.50,2.7537,0.0123
2,35,-89.77,2.7533,0.0086
2,46,-91.94,2.7536,0.0089
2,7,-93.48,2.7561,0.0058
2,38,-90.19,2.7538,0.0068
2,41,-91.84,2.7565,0.0057
2,22,-92.45,2.7567,0.0098
2,18,-92.48,2.7569,0.0059
2,25,-92.84,2.7552,0.0123
2,50,-90.93,2.7531,0.0101
2,11,-91.51,2.7558,0.0091
2,37,-91.94,2.7563,0.0121
2,39,-89.68,2.7541,0.0100
2,36,-92.77,2.7584,0.0059
2,43,-91.96,2.7563,0.0124
2,12,-90.59,2.7547,0.0095
2,34,-91.37,2.7588,0.0057
2,44,-89.84,2.7547,0.0100
2,27,-87.90,2.7563,0.0091
2,16,-88.26,2.7565,0.0089
2,20,-90.66,2.7590,0.0060
2,2,-90.38,2.7567,0.0068
2,1,-92.27,2.7570,0.0125
2,40,-91.17,2.7573,0.0121
2,14,-91.10,2.7574,0.0121
2,45,-87.75,2.7565,0.0091
2,3,-92.10,2.7570,0.0091
2,8,-90.91,2.7576,0.0086
2,30,-90.58,2.7577,0.0123
2,47,-92.21,2.7576,0.0125
2,32,-93.19,2.7598,0.0059
2,4,-91.41,2.7574,0.0067
2,17,-87.57,2.7571,0.0091
2,15,-92.17,2.7577,0.0125
2,24,-89.90,2.7570,0.0079
2,49,-91.40,2.7563,0.0097
2,48,-90.83,2.7566,0.0094
2,13,-91.47,2.7580,0.0067
2,5,-92.05,2.7581,0.0092
2,6,-91.90,2.7570,0.0097
2,33,-90.49,2.7592,0.0079
2,21,-90.45,2.7592,0.0079
